,ffr_rate,ffr_1d_change,ffr_5d_change,ffr_20d_change,ffr_momentum,ffr_volatility,gdp_level,gdp_growth,gdp_momentum,gdp_ffr_ratio,macro_signal
2024-11-06,4.83,0.0,0.0,0.0,0.0,0.0,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-11-07,4.83,0.0,0.0,0.0,0.0,0.0,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-11-08,4.58,-0.25,-0.25,-0.25,-5.175983436853004,0.05590169943749472,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-11-09,4.58,0.0,-0.25,-0.25,-5.175983436853004,0.07694837640638648,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-11-10,4.58,0.0,-0.25,-0.25,-5.175983436853004,0.09158688713313066,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-11-11,4.58,0.0,-0.25,-0.25,-5.175983436853004,0.10259783520851527,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-11-12,4.58,0.0,-0.25,-0.25,-5.175983436853004,0.11106541457982971,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-11-13,4.58,0.0,0.0,-0.25,0.0,0.11754058649540669,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-11-14,4.58,0.0,0.0,-0.25,0.0,0.12234012123239807,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-11-15,4.58,0.0,0.0,-0.25,0.0,0.12565617248750852,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-11-16,4.58,0.0,0.0,-0.25,0.0,0.12760444638351,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-11-17,4.58,0.0,0.0,-0.25,0.0,0.12824729401064416,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-11-18,4.58,0.0,0.0,-0.25,0.0,0.12760444638351,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-11-19,4.58,0.0,0.0,-0.25,0.0,0.12565617248750852,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
